[W 260923 10:34:10 smartWebSocketV2:318] Attempting to resubscribe/reconnect (Attempt 1)...
[I 260923 10:34:12 smartConnect:496] Search successful. Found 7220 trading symbols for the given query:
    71. exchange: NFO, tradingsymbol: NIFTY03NOV2619850CE, symboltoken: 53266
    72. exchange: NFO, tradingsymbol: NIFTY03NOV2619850PE, symboltoken: 53267
    73. exchange: NFO, tradingsymbol: NIFTY03NOV2619900CE, symboltoken: 53271
    74. exchange: NFO, tradingsymbol: NIFTY03NOV2619900PE, symboltoken: 53272
    75. exchange: NFO, tradingsymbol: NIFTY03NOV2619950CE, symboltoken: 53276
    76. exchange: NFO, tradingsymbol: NIFTY03NOV2619950PE, symboltoken: 53297
    77. exchange: NFO, tradingsymbol: NIFTY03NOV2620000CE, symboltoken: 53298
    78. exchange: NFO, tradingsymbol: NIFTY03NOV2620000PE, symboltoken: 53299
    79. exchange: NFO, tradingsymbol: NIFTY03NOV2620050CE, symboltoken: 53300
    80. exchange: NFO, tradingsymbol: NIFTY03NOV2620050PE, symboltoken: 53309
    81. exchange: NFO, tradingsymbol: NIFTY03NOV2620100CE, symboltoken: 53310
    82. exchange: NFO, tradingsymbol: NIFTY03NOV2620100PE, symboltoken: 53311
    83. exchange: NFO, tradingsymbol: NIFTY03NOV2620150CE, symboltoken: 53313
    84. exchange: NFO, tradingsymbol: NIFTY03NOV2620200CE, symboltoken: 53315
    85. exchange: NFO, tradingsymbol: NIFTY03NOV2620200PE, symboltoken: 53316
    86. exchange: NFO, tradingsymbol: NIFTY03NOV2620250CE, symboltoken: 53319
    87. exchange: NFO, tradingsymbol: NIFTY03NOV2620250PE, symboltoken: 53320
    88. exchange: NFO, tradingsymbol: NIFTY03NOV2620300CE, symboltoken: 53321
    89. exchange: NFO, tradingsymbol: NIFTY03NOV2620300PE, symboltoken: 53322
    90. exchange: NFO, tradingsymbol: NIFTY03NOV2620350CE, symboltoken: 53326
    91. exchange: NFO, tradingsymbol: NIFTY03NOV2620350PE, symboltoken: 53327
    92. exchange: NFO, tradingsymbol: NIFTY03NOV2620400CE, symboltoken: 53328
    93. exchange: NFO, tradingsymbol: NIFTY03NOV2620400PE, symboltoken: 53329
    94. exchange: NFO, tradingsymbol: NIFTY03NOV2620450CE, symboltoken: 53330
    95. exchange: NFO, tradingsymbol: NIFTY03NOV2620450PE, symboltoken: 53331
    96. exchange: NFO, tradingsymbol: NIFTY03NOV2620500CE, symboltoken: 53332
    97. exchange: NFO, tradingsymbol: NIFTY03NOV2620500PE, symboltoken: 53333
    98. exchange: NFO, tradingsymbol: NIFTY03NOV2620550CE, symboltoken: 53334
    99. exchange: NFO, tradingsymbol: NIFTY03NOV2620550PE, symboltoken: 53339
    100. exchange: NFO, tradingsymbol: NIFTY03NOV2620600CE, symboltoken: 53340
    101. exchange: NFO, tradingsymbol: NIFTY03NOV2620600PE, symboltoken: 53341
    102. exchange: NFO, tradingsymbol: NIFTY03NOV2620650CE, symboltoken: 53342
    103. exchange: NFO, tradingsymbol: NIFTY03NOV2620650PE, symboltoken: 53343
    104. exchange: NFO, tradingsymbol: NIFTY03NOV2620700PE, symboltoken: 53350
    105. exchange: NFO, tradingsymbol: NIFTY03NOV2620750CE, symboltoken: 53352
    106. exchange: NFO, tradingsymbol: NIFTY03NOV2620750PE, symboltoken: 53353
    107. exchange: NFO, tradingsymbol: NIFTY03NOV2620800CE, symboltoken: 53356
    108. exchange: NFO, tradingsymbol: NIFTY03NOV2620800PE, symboltoken: 53358
    109. exchange: NFO, tradingsymbol: NIFTY03NOV2620850CE, symboltoken: 53359
    110. exchange: NFO, tradingsymbol: NIFTY03NOV2620850PE, symboltoken: 53363
    111. exchange: NFO, tradingsymbol: NIFTY03NOV2620900CE, symboltoken: 53364
    112. exchange: NFO, tradingsymbol: NIFTY03NOV2620900PE, symboltoken: 53367
    113. exchange: NFO, tradingsymbol: NIFTY03NOV2620950CE, symboltoken: 53368
    114. exchange: NFO, tradingsymbol: NIFTY03NOV2620950PE, symboltoken: 53372
    115. exchange: NFO, tradingsymbol: NIFTY03NOV2621000CE, symboltoken: 53373
    116. exchange: NFO, tradingsymbol: NIFTY03NOV2621000PE, symboltoken: 53376
    117. exchange: NFO, tradingsymbol: NIFTY03NOV2621050CE, symboltoken: 53377
    118. exchange: NFO, tradingsymbol: NIFTY03NOV2621050PE, symboltoken: 53378
    119. exchange: NFO, tradingsymbol: NIFTY03NOV2621100CE, symboltoken: 53379
    120. exchange: NFO, tradingsymbol: NIFTY03NOV2621100PE, symboltoken: 53380
    121. exchange: NFO, tradingsymbol: NIFTY03NOV2621150CE, symboltoken: 53381
    122. exchange: NFO, tradingsymbol: NIFTY03NOV2621150PE, symboltoken: 53390
    123. exchange: NFO, tradingsymbol: NIFTY03NOV2621200CE, symboltoken: 53391
    124. exchange: NFO, tradingsymbol: NIFTY03NOV2621200PE, symboltoken: 53396
    125. exchange: NFO, tradingsymbol: NIFTY03NOV2621250CE, symboltoken: 53397
    126. exchange: NFO, tradingsymbol: NIFTY03NOV2621250PE, symboltoken: 53408
    127. exchange: NFO, tradingsymbol: NIFTY03NOV2621300CE, symboltoken: 53409
    128. exchange: NFO, tradingsymbol: NIFTY03NOV2621300PE, symboltoken: 53439
    129. exchange: NFO, tradingsymbol: NIFTY03NOV2621350CE, symboltoken: 53440
    130. exchange: NFO, tradingsymbol: NIFTY03NOV2621350PE, symboltoken: 53451
    131. exchange: NFO, tradingsymbol: NIFTY03NOV2621400CE, symboltoken: 53452
    132. exchange: NFO, tradingsymbol: NIFTY03NOV2621400PE, symboltoken: 53456
    133. exchange: NFO, tradingsymbol: NIFTY03NOV2621450CE, symboltoken: 53458
    134. exchange: NFO, tradingsymbol: NIFTY03NOV2621450PE, symboltoken: 53470
    135. exchange: NFO, tradingsymbol: NIFTY03NOV2621500CE, symboltoken: 53471
    136. exchange: NFO, tradingsymbol: NIFTY03NOV2621500PE, symboltoken: 53472
    137. exchange: NFO, tradingsymbol: NIFTY03NOV2621550CE, symboltoken: 53473
    138. exchange: NFO, tradingsymbol: NIFTY03NOV2621550PE, symboltoken: 53487
    139. exchange: NFO, tradingsymbol: NIFTY03NOV2621600CE, symboltoken: 53488
    140. exchange: NFO, tradingsymbol: NIFTY03NOV2621600PE, symboltoken: 53496
